index,close,VWAP,high,MA,average_price,low,tomorrow_high
2009-08-26 13:30:00,103.17,103.10000333333332,103.64,87.9540005000003,103.07,102.49001,103.72
2009-08-27 13:30:00,103.39999,103.01999666666666,103.72,88.0078504500003,102.83,101.94,104.35001
2009-08-28 13:30:00,103.38,103.46667,104.35001,88.0759004500003,103.51,102.67,102.58
2009-08-31 13:30:00,102.46001,102.27666666666669,102.58,88.15910045000031,102.18,101.78999,103.24001
2009-09-01 13:30:00,100.2,101.14334,103.24001,88.20425045000033,101.62,99.99001,100.44
2009-09-02 13:30:00,99.82001,99.94334,100.44,88.27025050000033,100.01,99.57001,100.77
2009-09-03 13:30:00,100.64999,100.33666333333332,100.77,88.34615045000034,100.18,99.59,102.09
2009-09-04 13:30:00,102.06,101.56666666666666,102.09,88.42105045000034,101.32,100.55,103.05
2009-09-08 13:30:00,102.94,102.79333333333334,103.05,88.52825045000033,102.72,102.39,104.08
2009-09-09 13:30:00,103.73,103.53666666666668,104.08,88.6696504500003,103.44,102.8,104.86
2009-09-10 13:30:00,104.78999,104.28999666666664,104.86,88.79600040000031,104.04,103.22,105.3
2009-09-11 13:30:00,104.77,104.78333333333332,105.3,88.89470040000032,104.79,104.28,105.46001000000001
2009-09-14 13:30:00,105.28,104.63,105.46001000000001,88.9928004000003,104.3,103.14999,106.11
2009-09-15 13:30:00,105.72,105.52999666666666,106.11,89.07655040000033,105.43,104.75999,107.34
2009-09-16 13:30:00,107.32001000000001,106.79627333333332,107.34,89.1627004500003,106.53,105.72881000000001,108.06
2009-09-17 13:30:00,107.16,107.26333666666666,108.06,89.28795045000031,107.32,106.57001000000001,107.16
2009-09-18 13:30:00,106.72,106.74666666666668,107.16,89.3952004500003,106.76,106.36,107.0
2009-09-21 13:30:00,106.45,106.37,107.0,89.49085040000033,106.33,105.66,107.37
2009-09-22 13:30:00,107.07001000000001,107.01334,107.37,89.59970045000033,106.99,106.60001000000001,108.03
2009-09-23 13:30:00,106.17998999999999,106.73333333333336,108.03,89.69095045000033,107.01,105.99001000000001,106.64
2009-09-24 13:30:00,105.00998999999999,105.39999666666668,106.64,89.76100040000033,105.6,104.55,105.36
2009-09-25 13:30:00,104.45,104.63333333333333,105.36,89.83575040000031,104.72,104.09,106.55
2009-09-28 13:30:00,106.32001000000001,105.90000333333334,106.55,89.91680045000031,105.69,104.83,107.02
2009-09-29 13:30:00,106.0,106.26666666666668,107.02,90.00710045000031,106.4,105.78,106.46001000000001
2009-09-30 13:30:00,105.59,105.55667,106.46001000000001,90.09010040000031,105.54,104.62,105.73308999999999
2009-10-01 13:30:00,103.0,103.89436333333332,105.73308999999999,90.16635040000031,104.34,102.95,103.10001
2009-10-02 13:30:00,102.49001,102.52667666666666,103.10001,90.21940045000031,102.55,101.99001,104.32001
2009-10-05 13:30:00,104.02,103.64667333333334,104.32001,90.2845504000003,103.46,102.60001,106.11
2009-10-06 13:30:00,105.50998999999999,105.44333333333331,106.11,90.3656504000003,105.41,104.71001,105.91
2009-10-07 13:30:00,105.8,105.59333666666667,105.91,90.4537004000003,105.49,105.07001000000001,107.17
2009-10-08 13:30:00,106.61,106.54163,107.17,90.5514504000003,106.51,105.84488999999999,107.25998999999999
