Date,tmr_high,tmr_low,y_hat_high,y_hat_low
2001-11-06,113.12000274658203,111.63999938964844,112.96462516868347,111.4344988573792
2001-11-13,115.4000015258789,113.70999908447266,114.83369991943512,112.99583277710917
2001-11-19,115.80000305175781,114.63999938964844,116.26001126012427,114.94682701101709
2001-11-21,115.75,114.0,114.6591622380565,112.95154674265085
2001-11-26,116.9000015258789,114.08999633789062,116.5575806864779,115.13267433091528
2001-11-29,114.91000366210938,114.0199966430664,114.80459271860785,113.28018150923778
2001-12-04,118.0,115.55999755859375,115.19174185926671,114.1923591004655
2001-12-05,117.94000244140625,116.93000030517578,117.61902937925305,115.70274167060683
2001-12-13,113.48999786376953,112.0,113.54559646500076,111.88583002457764
2001-12-24,116.20999908447266,114.6500015258789,115.21645330454099,113.83014383720575
2001-12-26,116.08000183105469,115.25,115.81933552405816,114.6364913059734
2002-01-02,116.94999694824219,115.54000091552734,115.93976714396744,114.7206634872546
2002-01-03,117.9800033569336,116.55000305175781,117.20980315321466,115.48749695008854
2002-01-08,117.77999877929688,115.33999633789062,117.0799181465596,115.18907114309222
2002-01-09,116.3499984741211,115.30000305175781,116.59835002367274,114.94142908583329
2002-01-11,114.83999633789062,113.95999908447266,115.68597073981024,113.85495035404507
2002-01-17,113.8499984741211,112.66999816894531,114.31775871699526,112.73180985204286
2002-01-24,114.18000030517578,113.04000091552734,114.17429937163341,112.21198673568666
2002-01-25,114.19000244140625,112.91999816894531,114.1346299315589,111.98213439841582
2002-02-01,112.2300033569336,109.44000244140625,113.23160652325137,111.65704791866418
2002-02-11,111.70999908447266,110.02999877929688,111.9970438270471,110.67457447719464
2002-02-12,112.54000091552734,111.3499984741211,111.86426164746383,110.68067557905151
2002-02-26,112.86000061035156,110.6500015258789,112.108461368065,110.69793743572954
2002-03-01,115.98999786376953,113.6500015258789,113.73728083919157,111.60259552976771
2002-03-06,117.5,115.56999969482422,117.46793648253546,115.57807757653546
2002-03-07,117.9000015258789,116.4800033569336,117.38769232986087,115.42380844044713
2002-03-08,117.9000015258789,116.43000030517578,117.35897131919866,115.92892830384355
2002-03-13,116.43000030517578,115.62999725341797,116.64744758654273,115.17946240139092
2002-03-15,117.55999755859375,116.0999984741211,117.33454739840762,115.83804091456899
2002-03-21,115.94000244140625,114.69999694824219,115.55412913881868,114.19116434771352
2002-03-28,115.0999984741211,113.5,115.38784886020949,113.92932236995097
2002-04-02,114.20999908447266,112.16000366210938,115.01300282208165,113.5164728284293
2002-04-04,113.62999725341797,112.18000030517578,113.44003303124497,111.86116127107707
2002-04-08,113.18000030517578,111.93000030517578,113.20946010285651,111.71024233082893
2002-04-16,113.66999816894531,112.5999984741211,113.26246966140883,111.64882301588038
2002-04-19,112.43000030517578,110.83999633789062,113.33800926967548,111.80316123401016
2002-04-22,111.4800033569336,110.16999816894531,112.14955530856379,110.35848658341497
2002-04-23,111.80999755859375,109.4000015258789,111.76459959706195,110.42818810338996
2002-04-24,109.73999786376953,108.72000122070312,110.85874473271768,108.83609914725977
2002-04-25,110.01000213623047,107.29000091552734,110.33621058843002,108.7798836460596
2002-05-08,109.0999984741211,107.58000183105469,109.51977512664824,107.9712044436362
2002-05-15,110.4800033569336,109.33000183105469,110.56657481204549,109.0276678652321
2002-05-17,110.69000244140625,109.48999786376953,111.3783896328365,110.34184215533173
2002-05-21,109.12000274658203,108.0,109.85119222729186,108.10364777449706
2002-05-24,109.12999725341797,107.44999694824219,109.79115992390594,108.00773299251189
2002-06-03,105.19999694824219,103.55000305175781,106.38254026054706,104.401675556399
2002-06-05,105.5999984741211,103.1500015258789,106.59877655911411,104.61466676803092
2002-06-07,104.45999908447266,103.0199966430664,104.17973970474765,101.45136176398942
2002-06-10,104.54000091552734,101.7300033569336,104.527976650894,102.92197842334917
2002-06-13,101.55999755859375,98.5,102.92340522390701,101.04255390232983
2002-06-17,105.02999877929688,103.62999725341797,104.13153521424759,102.49994844936292
2002-06-18,104.43000030517578,102.23999786376953,105.17013822079485,104.02706142672544
2002-06-28,99.80000305175781,96.88999938964844,99.89913132500475,97.871122896305
2002-07-02,95.83999633789062,93.72000122070312,97.74968612338799,93.65317341214319
2002-07-08,98.33999633789062,95.01000213623047,98.61557047946428,97.27073715955032
2002-07-11,93.88999938964844,91.5199966430664,93.64062536097434,91.06383582132014
2002-07-12,92.4000015258789,87.88999938964844,94.36143160786706,90.88792503736352
2002-07-16,93.30000305175781,89.75,91.30675135509004,88.93856936131665
2002-07-17,91.0999984741211,87.75,91.69317727474436,89.05945782224569
2002-07-18,87.55000305175781,84.30000305175781,89.89133397117791,87.47990372261324
2002-07-19,85.91000366210938,81.44999694824219,87.29126329077872,83.45635597246805
2002-07-29,91.4000015258789,88.72000122070312,89.17776466840859,86.77185259082353
2002-08-09,91.2699966430664,89.55000305175781,91.94536143045484,89.65036220352064
2002-08-12,91.66000366210938,88.6500015258789,91.5451759250514,89.23704982673921
2002-08-13,92.62999725341797,88.0199966430664,90.21291987320096,87.66896774896271
2002-08-21,97.1500015258789,95.06999969482422,95.62716438541713,93.77349984191314
2002-08-23,95.63999938964844,93.5,96.04546378335496,93.69324840614966
2002-08-26,96.25,93.5,95.71719933541112,93.63248546373976
2002-08-27,93.48999786376953,91.80000305175781,95.9314922463856,93.5362761036887
2002-08-28,93.05000305175781,90.80999755859375,93.77291611104211,91.11471617496214
2002-08-30,91.0,88.1500015258789,93.07144276799791,90.96082254761909
2002-09-17,88.5,86.27999877929688,89.82315876137831,87.4933636515155
2002-09-19,85.19999694824219,84.05000305175781,86.2111910093872,84.0119516287496
2002-09-27,82.80000305175781,80.9000015258789,83.94634545029531,82.3644354545119
2002-09-30,85.7699966430664,81.47000122070312,83.73701885368706,80.88534683069155
2002-10-02,84.5999984741211,81.94999694824219,84.0584098857193,82.2178968373825
2002-10-03,82.91999816894531,79.58000183105469,83.74652478308903,82.05576801723262
2002-10-04,81.19999694824219,78.55000305175781,83.47821387596733,80.3815595304441
2002-10-08,79.69999694824219,77.77999877929688,82.13005775736247,78.93753595654093
2002-10-18,90.5,87.56999969482422,89.2085022106656,87.0339914574672
2002-10-22,90.2699966430664,87.68000030517578,90.04773530724322,87.749438584579
2002-11-01,92.94000244140625,90.9000015258789,91.09572471067227,88.74653304012392
2002-11-07,91.56999969482422,89.5199966430664,91.40700595572133,89.45856531129166
2002-11-08,89.55999755859375,87.80000305175781,90.68137455562038,88.76320985671981
2002-11-12,89.73999786376953,87.44999694824219,90.29164695763248,88.23875846659882
2002-11-15,92.1500015258789,90.3499984741211,92.4281121051819,90.5765140369576
2002-11-18,91.0999984741211,89.76000213623047,91.25196877818298,89.56309309352815
2002-11-26,94.6500015258789,92.43000030517578,93.3757015495502,91.11365813737224
2002-11-29,96.05000305175781,93.22000122070312,94.96393214028977,93.26152229656236
2002-12-02,93.4000015258789,92.3499984741211,95.31385309539269,93.58283891369712
2002-12-05,92.16999816894531,89.9800033569336,92.32752746396527,90.56385801765046
2002-12-16,91.73999786376953,90.73999786376953,92.3503580282256,90.3794152911043
2002-12-18,90.69999694824219,88.5999984741211,90.56085823318854,88.89772335785946
2002-12-19,90.0199966430664,89.0999984741211,90.16620340652526,88.32683877362182
2003-01-02,91.37999725341797,90.5,91.88405745827575,89.16395352554463
2003-01-06,93.37000274658203,92.19999694824219,93.73790362119927,91.87649010421302
2003-01-07,92.4000015258789,91.05000305175781,93.32480658065961,91.80241528687134
2003-01-08,93.18000030517578,91.41000366210938,92.6124655247845,90.62136348458365
2003-01-10,93.86000061035156,92.44000244140625,93.9114843089694,92.27236377940922
2003-01-15,92.93000030517578,91.44999694824219,93.48696036183392,91.84804779844362
2003-01-16,92.30000305175781,90.1500015258789,92.86222600183214,91.26061746638769
2003-01-22,89.37999725341797,87.94999694824219,89.63207023069752,87.79163719689986
2003-01-23,88.68000030517578,86.16999816894531,90.33337333879886,88.47178718936502
2003-01-24,86.80000305175781,84.5,88.14632869977464,85.20218434618425
2003-01-28,87.18000030517578,84.7699966430664,86.92753582332439,84.57017962606442
2003-02-03,85.75,84.30000305175781,86.8605093870234,85.37271374761946
2003-02-04,86.54000091552734,84.4800033569336,86.00230403508641,83.59720150198768
2003-02-05,84.88999938964844,83.6500015258789,85.98922924388037,83.89664833449734
2003-02-21,85.0,83.58999633789062,85.94293025241923,83.69873218754098
2003-03-04,83.54000091552734,82.36000061035156,83.7952092061109,82.00804103694317
2003-03-10,82.0,80.4800033569336,83.33292899540491,80.62168048218085
2003-03-12,83.91000366210938,81.52999877929688,82.52590726340759,80.2014602193763
2003-03-13,84.7699966430664,83.3499984741211,84.53877144463516,82.65244221896761
2003-03-19,88.58999633789062,86.3499984741211,88.92232933427192,86.70066133744538
2003-03-25,87.8499984741211,86.80000305175781,88.37510615935942,86.87668623319847
2003-03-27,87.27999877929688,86.25,87.72466538784019,85.4830262540359
2003-03-31,86.38999938964844,84.91000366210938,86.0733299606634,83.92643440536706
2003-04-01,88.7699966430664,87.5,86.70509443737078,85.28877509294742
2003-04-03,88.58999633789062,87.62000274658203,89.82677129157554,87.44048354445533
2003-04-07,88.6500015258789,87.70999908447266,89.55771924410526,87.10145357998275
2003-04-10,88.69999694824219,86.86000061035156,87.70539641737085,86.57628719269123
2003-04-11,89.0,87.0,88.14115050057836,85.6976499698797
2003-04-14,89.77999877929688,88.41999816894531,90.09715793526759,88.01142067418827
2003-05-07,93.33000183105469,92.27999877929688,94.32407125783853,92.6198346039046
2003-05-08,93.80000305175781,92.61000061035156,93.1289045565065,91.70523371236298
2003-05-12,95.18000030517578,94.26000213623047,95.00766178849642,93.48949221219603
2003-05-14,95.33000183105469,94.25,95.32738856362033,93.57705924740198
2003-05-21,94.05000305175781,92.68000030517578,93.02011298241186,91.63680653629616
2003-05-27,96.47000122070312,95.43000030517578,95.74646232144791,93.55902928056891
2003-05-28,96.81999969482422,95.08000183105469,96.55508551395754,93.99318555159002
2003-05-29,97.08999633789062,95.55999755859375,96.49108732383966,93.51741134109501
2003-06-05,101.4000015258789,99.12999725341797,99.84170668604149,98.56522275207818
2003-06-17,102.13999938964844,101.0,102.16383312069931,100.93378368984094
2003-06-18,101.7300033569336,99.83999633789062,102.22665933933959,100.79770812774206
2003-06-20,99.66000366210938,97.91999816894531,100.6080950240484,98.92515401389858
2003-06-25,98.9800033569336,96.95999908447266,99.12682216841552,96.86948715933832
2003-06-27,98.66999816894531,97.47000122070312,99.15582336879838,97.66592693228363
2003-07-07,101.29000091552734,100.16999816894531,100.89873056040365,99.63914089571226
2003-07-09,100.04000091552734,98.62999725341797,101.18697556530991,99.80871127710445
2003-07-17,99.80000305175781,98.45999908447266,99.89645491968845,98.02419303294417
2003-07-21,99.41000366210938,97.91999816894531,99.45039940742775,98.05501427319659
2003-07-23,100.33999633789062,98.37000274658203,99.8279533923996,98.27896617218325
2003-07-31,99.52999877929688,98.23999786376953,100.37320364574653,99.03331018809274
2003-08-04,98.76000213623047,96.33999633789062,99.47372872188896,97.79938495809365
2003-08-08,99.04000091552734,97.83999633789062,99.16912928481669,97.54996544992633
2003-08-13,99.75,98.44999694824219,100.0196903776602,98.80001245837353
2003-08-28,101.4800033569336,100.4800033569336,100.83952139039167,99.56550360194355
2003-09-04,103.55000305175781,102.4000015258789,103.84064679302233,102.74429843307759
2003-09-10,102.76000213623047,101.83999633789062,102.7274382380531,101.05094161307667
2003-09-25,100.66000366210938,99.8499984741211,101.708407781556,100.02189385363175
2003-09-26,100.98999786376953,99.79000091552734,101.37407998697593,99.54218618089887
2003-10-02,104.27999877929688,103.08000183105469,103.29523621673182,101.77312788590646
2003-10-10,105.29000091552734,104.51000213623047,105.07999789757982,104.02525230284661
2003-10-21,104.19000244140625,103.19000244140625,105.47850040043495,104.26788338440792
2003-10-22,103.94999694824219,102.83999633789062,104.47213929317614,102.8131366190925
2003-10-28,105.43000030517578,103.87000274658203,105.41503161784858,104.27100699722405
2003-10-31,106.61000061035156,105.70999908447266,105.76810319676443,104.79865069276944
2003-11-12,106.54000091552734,105.77999877929688,106.7501103730355,105.43055539560439
2003-11-18,105.01000213623047,103.91999816894531,105.12451338763056,103.67618091953375
2003-11-25,106.44999694824219,105.38999938964844,106.63368430516776,105.6008368463418
2003-12-08,107.93000030517578,106.54000091552734,108.01054860213021,106.7310562909427
2004-01-02,112.5199966430664,111.58999633789062,111.68572178208984,110.50281915508647
2004-01-06,113.05999755859375,111.88999938964844,113.1374745760855,112.16737667321341
2004-01-09,113.25,112.36000061035156,113.42334202618876,112.36013752921693
2004-01-13,113.66000366210938,112.66999816894531,113.39817745795582,112.25818706863404
2004-01-14,114.05999755859375,112.58000183105469,113.96792405405263,113.0820658547649
2004-01-27,115.27999877929688,112.94000244140625,115.65934781209612,113.7243581381152
2004-02-06,114.87000274658203,114.29000091552734,114.81805986252041,113.72330120708412
2004-02-10,116.38999938964844,114.16999816894531,115.06576070806288,113.91027572568247
2004-02-17,116.5999984741211,115.3499984741211,116.71961502696601,115.29618576155598
2004-02-18,116.38999938964844,115.05999755859375,116.44485162595137,115.05165978172406
2004-02-20,115.26000213623047,114.16999816894531,115.32761059285025,113.4232785938487
2004-02-24,115.05999755859375,114.31999969482422,114.80842056532737,113.31405652851048
2004-02-27,116.33999633789062,115.25,115.71867283805892,114.11862596545441
2004-03-02,115.87000274658203,114.91999816894531,116.36522066653465,114.90900711535187
2004-03-08,115.20999908447266,114.23999786376953,115.88962218875874,113.99317367677916
2004-03-11,112.70999908447266,111.58000183105469,112.49116200347203,110.16892850495312
2004-03-12,112.3499984741211,110.9000015258789,113.58924374912453,111.77854138877939
2004-03-16,113.26000213623047,112.0999984741211,112.0495587754322,110.64243196435707
2004-03-19,110.56999969482422,109.0999984741211,112.03123888671507,110.46609048836838
2004-03-23,110.13999938964844,108.8499984741211,110.37667725290596,108.83541102683454
2004-03-25,111.79000091552734,110.80000305175781,111.5014457393328,110.51488004661137
2004-03-26,112.73999786376953,111.58000183105469,111.65504136329623,110.59448290130624
2004-03-31,113.87000274658203,113.05000305175781,113.35634389181256,112.320899161925
2004-04-01,114.83999633789062,113.9000015258789,114.24272829870779,113.07095064944811
2004-04-02,115.37999725341797,114.44000244140625,115.13858756299861,113.80949177042181
2004-04-08,115.08000183105469,114.56999969482422,115.27929888523335,113.6505076245778
2004-04-20,112.94999694824219,111.87000274658203,113.31296530339092,111.70352494413649
2004-04-27,114.01000213623047,112.5,115.06544479844257,113.76222179866699
2004-04-28,113.31999969482422,111.16000366210938,113.5948791568022,112.34439767731257
2004-04-29,112.37999725341797,110.9000015258789,112.62908438283817,110.84168328116354
2004-05-12,110.80999755859375,109.62999725341797,111.14178639743302,109.90169014472657
2004-05-20,110.55000305175781,109.47000122070312,110.68175320986457,109.43505717455672
2004-05-26,113.02999877929688,112.05999755859375,112.75749044322775,111.7736213391409
2004-05-27,112.87999725341797,112.36000061035156,113.15476825906764,112.05298155526431
2004-05-28,112.86000061035156,111.87000274658203,113.17056538912742,112.19481504186444
2004-06-07,114.91999816894531,114.16999816894531,114.9202808464672,113.78931942462874
2004-06-08,114.69999694824219,113.72000122070312,115.16013938247893,113.83056139818545
2004-06-09,114.3499984741211,113.93000030517578,114.80716342812002,113.45802643894758
2004-06-17,114.22000122070312,113.18000030517578,114.20842196992398,113.16880323116088
2004-06-24,114.94000244140625,113.68000030517578,115.0890554573633,113.8375196609402
2004-06-28,114.16999816894531,113.41999816894531,114.38773584968249,113.01201825158101
2004-06-29,114.79000091552734,113.6500015258789,114.31531758760018,113.27628333430897
2004-06-30,114.4000015258789,112.58000183105469,114.79268710254759,113.68842952274268
2004-07-14,111.91000366210938,110.69999694824219,112.05569108489928,110.82143901961341
2004-07-16,110.95999908447266,109.98999786376953,111.55878906361188,110.31254935389325
2004-07-19,111.9000015258789,110.25,111.1193550011204,109.84023828979666
2004-07-27,110.37000274658203,108.58999633789062,110.69653426653477,109.26767673820032
2004-08-09,108.41000366210938,107.26000213623047,108.11071141693145,106.5849273276078
2004-08-16,109.27999877929688,108.52999877929688,108.85546519173886,107.45768872436068
2004-08-26,111.62999725341797,111.05000305175781,111.40067109909985,110.51138581790447
2004-08-27,111.33999633789062,110.44999694824219,112.02483748957614,110.72533687771259
2004-09-01,112.69999694824219,111.23999786376953,111.85446507026008,110.47612691108489
2004-09-02,112.81999969482422,112.01000213623047,112.9948343611245,111.90928805614087
2004-09-07,113.05999755859375,112.30999755859375,113.23508954548697,112.20675887163806
2004-09-13,113.69000244140625,113.19000244140625,113.91314894260867,112.90607833756658
2004-09-15,113.37000274658203,112.80000305175781,113.52913960145678,112.48561870865662
2004-09-17,112.98999786376953,112.27999877929688,113.60698441671089,112.66588906835389
2004-09-20,113.47000122070312,112.54000091552734,113.14995818810324,112.14126467369572
2004-09-21,112.5199966430664,111.47000122070312,113.33070764845266,112.34749638726508
